legacy_surface,new_surface,type
bloom_online_menu.add_order,/api/v1/workflows/bloom_online_menu/add_order,jrpc
bloom_online_menu.get_menu,/api/v1/workflows/bloom_online_menu/get_menu,jrpc
bloom_online_menu.get_menu_last_update,/api/v1/workflows/bloom_online_menu/get_menu_last_update,jrpc
bloom_online_menu.get_orders,/api/v1/workflows/bloom_online_menu/get_orders,jrpc
bloom_online_menu.get_store,/api/v1/workflows/bloom_online_menu/get_store,jrpc
bloom_online_menu.modified_since,/api/v1/workflows/bloom_online_menu/modified_since,jrpc
bloom_online_menu.upsert_order,/api/v1/workflows/bloom_online_menu/upsert_order,jrpc
compliance.get_medical_usage,/api/v1/workflows/compliance/get_medical_usage,jrpc
compliance.report_violation_stopped,/api/v1/workflows/compliance/report_violation_stopped,jrpc
integrations.metrc_connected,/api/v1/workflows/integrations/metrc_connected,jrpc
loyalty_member.create,/api/v1/workflows/loyalty_member/create,jrpc
loyalty_member.get,/api/v1/workflows/loyalty_member/get,jrpc
menu.fetch_levels,/api/v1/workflows/menu/fetch_levels,jrpc
menu.get,/api/v1/workflows/menu/get,jrpc
menu.modified_since,/api/v1/workflows/menu/modified_since,jrpc
pos_notification.get,/api/v1/workflows/pos_notification/get,jrpc
receipt.add,/api/v1/workflows/receipt/add,jrpc
receipt.add_adjustment,/api/v1/workflows/receipt/add_adjustment,jrpc
receipt.add_adjustments,/api/v1/workflows/receipt/add_adjustments,jrpc
receipt.add_failed_receipt,/api/v1/workflows/receipt/add_failed_receipt,jrpc
receipt.get_by_uuid,/api/v1/workflows/receipt/get_by_uuid,jrpc
settings.get,/api/v1/workflows/settings/get,jrpc
settings.modified_since,/api/v1/workflows/settings/modified_since,jrpc
shift.add_events,/api/v1/workflows/shift/add_events,jrpc
stores.list,/api/v1/workflows/stores/list,jrpc
terminal.check,/api/v1/workflows/terminal/check,jrpc
terminal.set,/api/v1/workflows/terminal/set,jrpc
terminal.update,/api/v1/workflows/terminal/update,jrpc
